No;Classes;Text
22;BAD;The worst performers of the session were Delivery Hero AG (ETR:DHER), which fell 6.12% or 2.23 points to trade at 34.18 at the close. Zalando SE (ETR:ZALG) declined 2.56% or 1.11 points to end at 42.33 and RWE AG ST O.N. (ETR:RWEG) was down 2.00% or 0.82 points to 40.14. The worst performers were Hypoport AG (ETR:HYQGn) which was down 4.61% to 302.00 in late trade, Scout24 AG (ETR:G24n) which lost 2.03% to settle at 57.86 and Vantage Towers AG (ETR:VTWRn) which was down 1.88% to 32.28 at the close.
23;GOOD;"For its quarterly fund performance, Blackstone said its real estate opportunistic and core plus funds appreciated by 10.3% and 7.9%, respectively. Private credit funds gained 1.7% while its private equity portfolio rose 2.8%. That compares with a decline of nearly 5% for the S&P 500 index.

Blackstone generated $23.2 billion in proceeds from asset divestments across its portfolio. That included the sale of its majority stake in medical services provider Apria Healthcare to Owens & Minor (NYSE:OMI) Inc in a $1.6 billion take-private deal.

During the quarter, Blackstone spent $22.8 billion on new acquisitions, including its $6.4 billion takeover of Australian casino operator Crown Resorts and a $5.8 billion deal to take real estate income trust Preferred Apartment Communities (NYSE:APTS) Inc private.

Blackstone said earnings at its hedge funds unit, the world's largest, fell to $110.8 million, down from $157 million a year earlier, due partly to lower management fees and performance revenues.

Its hedge fund portfolio had a net return of 1% during the quarter compared with a 0.3% decline in the benchmark Fund Weighted Composite Index compiled by hedge fund data provider HFR.

Under generally accepted accounting principles (GAAP), Blackstone reported a net income of $1.22 billion, down 30% from $1.75 billion a year earlier, amid higher compensation expenses and a slowdown in investment income.

Total assets under management rose to a record $915 billion, driven by strong fundraising and bringing Blackstone closer to its goal of managing $1 trillion in assets this year. Unspent capital stood at $139.3 billion.

Blackstone declared a quarterly dividend of $1.32 per share, compared with $0.82 per share in the same quarter last year."
24;NEUTRAL;"Retail brokerage giant Fidelity Investments said on Thursday it opened a virtual eight-story building in the metaverse that offers financial education - and dancing - as it tries to attract more young investors to its platforms.

The so-called Fidelity Stack was timed to launch at the same time as the brokerage's Fidelity Metaverse ETF, which gives investors the opportunity to invest in businesses involved in the metaverse, a network of virtual environments accessed via different devices where users can work, socialize and play.

The Fidelity Stack, which was built in Decentraland, a web platform that mimics a metropolitan area, with commerce districts, offices and event spaces, is open to all but is largely aimed at 18-35 year-olds, said David Dintenfass, chief marketing officer and head of emerging customers at Fidelity.

""We're trying to make sure we're staying current for the next generation,"" he said in an interview.

In 2021, 3.8 million new Fidelity brokerage accounts were opened up by investors aged 18 to 35 and the company has made a push to engage with those customers, including through its own Reddit sub-thread and TikTok account.

Last May, Boston-based Fidelity launched a brokerage account designed exclusively for teens, supervised by their parents, and about 60,000 of the accounts have been opened so far, Dintenfass said.

""The learning by doing - that's consistent with the metaverse, he said.

""This is the next step in the long line of things we're trying to do to reach that next generation.""

Users in the Fidelity Stack can explore the building's interior, which includes a dance floor and rooftop sky garden, and are challenged to learn the basics of ETF investing while gathering ""orbs"" along the way, the company said.

Dintenfass declined to say how much Fidelity paid to buy the virtual space inside Decentraland.

Fidelity enters the metaverse in search of young investors
Retail brokerage giant Fidelity Investments said on Thursday it opened a virtual eight-story building in the metaverse that offers financial education - and dancing - as it tries to attract more young investors to its platforms.

The so-called Fidelity Stack was timed to launch at the same time as the brokerage's Fidelity Metaverse ETF, which gives investors the opportunity to invest in businesses involved in the metaverse, a network of virtual environments accessed via different devices where users can work, socialize and play.

The Fidelity Stack, which was built in Decentraland, a web platform that mimics a metropolitan area, with commerce districts, offices and event spaces, is open to all but is largely aimed at 18-35 year-olds, said David Dintenfass, chief marketing officer and head of emerging customers at Fidelity.

""We're trying to make sure we're staying current for the next generation,"" he said in an interview.

In 2021, 3.8 million new Fidelity brokerage accounts were opened up by investors aged 18 to 35 and the company has made a push to engage with those customers, including through its own Reddit sub-thread and TikTok account.

Last May, Boston-based Fidelity launched a brokerage account designed exclusively for teens, supervised by their parents, and about 60,000 of the accounts have been opened so far, Dintenfass said.

""The learning by doing - that's consistent with the metaverse, he said.

""This is the next step in the long line of things we're trying to do to reach that next generation.""

Users in the Fidelity Stack can explore the building's interior, which includes a dance floor and rooftop sky garden, and are challenged to learn the basics of ETF investing while gathering ""orbs"" along the way, the company said.

Dintenfass declined to say how much Fidelity paid to buy the virtual space inside Decentraland.

Fidelity enters the metaverse in search of young investors."
25;NEUTRAL;"Tesla (NASDAQ:TSLA) Inc's eye-popping profit margin has raised doubts among Wall Street analysts if the company would be able to keep at it amid rising commodity costs and higher expenses to increase production.

The world's most valuable automaker pocketed a hefty 32.9% margin, more than double that of legacy firms including General Motors (NYSE:GM), Ford Motor (NYSE:F) Co and Stellantis, who too have been spending heavily for a share of the lucrative electric vehicle market.

Tesla's record margin that came on the back of higher prices is powering a nearly 9% rise in Tesla's stock price on Thursday and has led at least five analysts to raise their price target, but with a warning.

Margin could come under pressure in the coming months as the spending on rampup at the plants in Berlin and Texas gradually becomes a part of cost of production and moves out of research and development expenses, they said.

""While the margins are impressive, some fear that they might be at their peak,"" said Julie Gillespie, head of market research at TipRanks.

Rising commodity costs too could eat into margins even though Tesla's price increases are designed to offset higher anticipated costs in the next six to 12 months.

The recent price hikes are for orders that are likely to be delivered a year later in some cases and could incur higher production costs, potentially squeezing the margins.

For Tesla, this implies production rampup would play a crucial role. ""Its margins ultimately depend on how many cars rattle through the production line,"" Laura Hoy, analyst at Hargreaves Lansdown (LON:HRGV) said.

""That makes volume loss one of the biggest fundamental risks to the group's margins. While demand has remained strong in the face of higher prices, affordability will always be an important factor to consider.""

Still, many investors remain bullish on the company's prospects after Chief Executive Elon Musk hinted at the automaker being able to achieve 60% volume growth this year, up from 50% predicted in the fourth-quarter earnings call.

""I would be surprised if the margins came down because they just get better and better,"" said investor Thomas Hayes, managing member at Great Hill Capital LLC, adding there will be some costs with investing in factories but production would also grow.

Since the outbreak of the COVID-19 pandemic, Tesla has been posting record deliveries and earnings for several quarters while rivals have been battling global supply chain issues and even suspended production."
26;BAD;"Xerox Corp. (NASDAQ:XRX) reported its first quarter earnings before the bell Thursday, sending its stock tumbling more than 18.5%.

The company, which sells print and digital document products and services, reported a loss per share of 12 cents on revenue of $1.67 billion. Analysts polled by Investing.com expected earnings per share of 29 cents on revenue of $1.65 billion.

The company blamed broad-based inflationary pressure and increased logistics costs from supply chain disruption for its operating loss. However, it expects to offset most of these cost increases with price actions, and additional ""Project Own It"" savings.

“Revenue was in line with expectations this quarter despite an increasingly volatile operating environment,” said Xerox Vice Chairman and CEO John Visentin.

Xerox maintained its 2022 revenue guidance of ""at least $7.1 billion."" However, it warned that the guidance assumes supply chain disruptions will subside and return to office trends will continue to improve in the second half of the year."
27;GOOD;" Philip Morris International Inc (NYSE:PM) cut its full-year earnings forecast on Thursday, hurt by the pullback of its Russian operations, higher costs and a sluggish recovery in its Asian duty-free business.

The tobacco giant took a charge of 3 cents per share related to the war in Ukraine in the first quarter, after discontinuing sales of a number of Marlboro and Parliament cigarette products in Russia.

The company, which is working on options to exit Russia, has also canceled product launches for the year and suspended its planned investments there following Moscow's invasion of Ukraine.

Philip Morris' first-quarter earnings fell 3.6% to $2.32 billion, or $1.50 per share, including the 3-cent charge.

Russia generated revenue of more than $1.8 billion last year for Philip Morris, around 6% of the New York-based company’s global sales.

Philip Morris also slashed its forecast for 2022 adjusted earnings per share to between $5.45 and $5.56 from between $6.12 and $6.30 estimated earlier, as soaring costs wreak havoc on corporate earnings across sectors.

Separately, a Reuters review of business registries and sanctions lists showed a longtime Russian business associate of Philip Morris, Igor Kesaev, had been sanctioned in Europe for aiding Moscow's Ukraine invasion."
28;GOOD;"Tesla (NASDAQ:TSLA) shares were trading around 4% higher after-hours following the company’s reported Q1 results, with EPS of $3.22 coming in significantly above the consensus estimate of $2.26. Revenue grew 81% year-over-year to $18.8 billion, beating the consensus estimate of $17.8 billion, reflecting growth in vehicle deliveries, increased average selling price (ASP) and growth in other parts of the business.

Total production was 305,407 vehicles, out of which 14,218 of Model S/X and 291,189 of Model 3/Y. Total deliveries were 310,048, out of which 14,724 of Model S/X deliveries and 295,324 of Model 3/Y deliveries.

During the quarter the company started its production and deliveries from Gigafactory Berlin (March 2022) and Gigafactory Texas (April 2022).

The company noted that supply chain challenges have remained persistent and it has been navigating through them for over a year. Furthermore, recent COVID-19 outbreaks have been weighing on the company’s supply chain and factory operations, in addition to chip shortages.

According to the company, the inflationary impact with some raw material prices increasing multiple-fold in recent months has contributed to adjustments in the company’s product pricing, despite the ongoing focus on reducing its manufacturing costs where possible."
29;BAD;"A former eBay Inc (NASDAQ:EBAY) security executive intends to plead guilty to federal charges that he planned a cyberstalking campaign that targeted a Massachusetts couple whose online newsletter was seen as critical of the e-commerce company.

James Baugh, eBay's former senior director of safety and security, had been awaiting trial in Boston with another ex-executive accused of helping harass the couple through Twitter (NYSE:TWTR) and with disturbing deliveries like a bloody Halloween pig mask and live cockroaches.

At the request of Baugh's lawyers, a federal judge on Tuesday scheduled a hearing for him to instead plead guilty on April 25. A May 31 trial remains scheduled for his co-defendant, David Harville, eBay's former director of global resiliency.

William Fick, a lawyer for Baugh, declined to comment.

Baugh is one of seven former eBay workers who were charged in 2020 with harassing the married couple in Natick, Massachusetts, behind the newsletter EcommerceBytes.

They did so after two top executives, including former Chief Executive Officer Devin Wenig, expressed frustration with the newsletter, according to prosecutors and a lawsuit the couple, David and Ina Steiner, filed against eBay.

Prosecutors said the Steiners in August 2019 began receiving anonymous, harassing private messages on Twitter and disturbing deliveries to their home that also included fly larvae, spiders and a funeral wreath.

Prosecutors said Baugh planned the threatening messages and deliveries with employees and contractors who reported to him and traveled with some to Massachusetts to surveil the couple.

After learning that Natick police were investigating, Baugh and others deleted messages from their social media accounts, and he lied to eBay investigators by denying that its employees were involved, prosecutors said.

Five other former eBay workers have pleaded guilty. Wenig was not charged and has denied knowing about the scheme. eBay has said it is in settlement talks with the couple."
30;BAD;European shares posted their worst day in two weeks on Tuesday as rising bond yields, worries about the war in Ukraine and a batch of upcoming earnings kept investors on edge, while energy shares outperformed despite plunging oil prices.
31;GOOD;"Casa Systems Inc (NASDAQ:CASA) announced Monday that it has been awarded a multi-year purchase contract from Verizon Communications Inc (NYSE:VZ), causing its shares to rally 72%. 

Casa Systems, a provider of physical and cloud-native infrastructure technology solutions, said the agreement will see it provide its 5G network function to Verizon to power Verizon's public Mobile Edge Compute service, which moves computing resources onto cloud servers.

In a further boost to the Casa Systems stock price, it was also revealed that Verizon plans to invest approximately $40 million in Casa stock, resulting in a stake of 9.9%.

""This announcement is an important milestone for our 5G Core and Security Gateway technology, as well as the growth potential of our business,"" said Jerry Guo, President, and CEO of Casa Systems. 

""Our cloud-native approach is at the foundation of today's agreement and represents an important pivot in the telecommunications industry,"" added Guo.

According to TheFly, Casa systems noted in a conference call that the Verizon deal is a $140 million maximum over six years, with a guaranteed $20 million minimum."
32;GOOD;"Casa Systems Inc (NASDAQ:CASA) stock has surged 72% on news that it has been awarded a multi-year contract from Verizon (NYSE:VZ) for its 5G Core Network Functions. In addition, Verizon will invest approximately $40 million in Casa stock, resulting in a 9.9% ownership stake.

Natus Medical Incorporated (NASDAQ:NTUS)is trading 29% above last week's close after it revealed it has entered into an agreement to be acquired by an affiliate of ArchiMed for approximately $1.2 billion."
33;GOOD;"Twitter Inc (NYSE:TWTR) shares are up 4% after its board of directors adopted the poison pill strategy in an attempt to stop Tesla (NASDAQ:TSLA) CEO Elon Musk from increasing his stake in the company above 15%.

Bank of America Corp (NYSE:BAC) has gained 3.1% following its earnings report, which saw it report earnings per share of $0.80 on revenue of $23.23 billion, beating analyst expectations."
34;BAD;"Charles Schwab Corp (NYSE:SCHW) stock has declined 8.6% after missing earnings and revenue expectations. The financial services firm reported earnings per share of $0.77 on revenue of $4.67 billion.

Bank of New York Mellon (NYSE:BK) also missed earnings and revenue forecasts resulting in its stock trading 2.9% lower midday. The firm posted earnings per share of $0.86 on revenue of $3.93 billion"
35;GOOD;The best performers of the session on the Nikkei 225 were Fast Retailing Co., Ltd. (TYO:9983), which rose 8.83% or 5,260.00 points to trade at 64,810.00 at the close. Meanwhile, Toho Zinc Co., Ltd. (TYO:5707) added 3.63% or 110.00 points to end at 3,140.00 and Kawasaki Heavy Industries, Ltd. (TYO:7012) was up 3.16% or 72.00 points to 2,347.00 in late trade.
36;BAD;The worst performers of the session were Tokyo Electron Ltd. (TYO:8035), which fell 4.99% or 2,830.00 points to trade at 53,880.00 at the close. Dainippon Screen Mfg. Co., Ltd. (TYO:7735) declined 4.74% or 510.00 points to end at 10,260.00 and Advantest Corp. (TYO:6857) was down 4.04% or 350.00 points to 8,320.00.
37;NEUTRAL;"Wall Street's major banks and asset managers were cautious about the economy as they detailed how both consumers and institutional clients were struggling to deal with sky-high inflation and looming rate hikes.

The big U.S. banks are reporting results at a time of surging inflation, which is leading to predictions that the U.S. Federal Reserve will hike interest rates aggressively this year.

While that can benefit big lenders by increasing what they earn from loans, rapid rate hikes could slow the economy and scupper a nascent recovery from the pandemic.

""Higher rates are typically a positive for banks,"" said Jason Ware, chief investment officer for Albion Financial Group, which holds JPMorgan shares. ""But if borrowers are unable to absorb higher borrowing costs it is an offsetting benefit. There could be a headwind if they rise too much.""

Several banks started stockpiling cash to cushion potential loan losses if inflation bites.

While that showed some banks were getting more concerned about the macro environment, it was ""not necessarily a prognostication we will hit bad economic times,"" Ware said.

U.S. monthly consumer prices increased by the most in 16-1/2 years in March to hit 8.5% year-on-year.

Mortgage rates meanwhile have been soaring, with the average interest rate on the most popular U.S. home loan rising to more than 5% last week, the highest level since November 2018.

""All of our clients are feeling the impact of the inflationary pressures across the board,"" Wells Fargo (NYSE:WFC) Chief Financial Officer Mike Santomassimo told reporters on a call.

While Santomassimo said that inflation has not yet shown up as a risk for the bank's credit portfolios, the bank said that higher interest rates would hurt mortgage volumes. Mortgage loans fell 33% from a year ago on lower originations and gains from home sales.

Lower-income consumers are being the most impacted by rising energy and food prices, Wells' CEO Charles Scharf said later on a conference call.

Scharf said that while the bank would likely see an increase in credit losses from historical lows, ""we should be a net beneficiary as we will also benefit from rising rates.""

JPMorgan Chase & Co (NYSE:JPM)'s Chief Executive Jamie Dimon on Wednesday warned of economic uncertainties, partly arising from soaring inflation. The bank also showed weaker mortgage lending, with loans down 3%.

Albion's Ware said, however, if inflation does come down and growth does normalize, the benchmark 10-year U.S. Treasury yield, which influences mortgage rates, could settle, which would be good for mortgage rates and borrowers."
38;GOOD;"Shares of Goldman Sachs (NYSE:GS) are trading more than 1% higher today.

The bank reported EPS of $10.76 on net revenue of $12.93 billion, compared to analyst expectations of $11.73 billion. The annualized ROE growth came in at 15%, while analysts were projecting 12.5% growth.

Investment banking revenue totaled $2.13 billion in the quarter, missing the consensus projection of $2.28 billion. Equities sales and trading revenue came in at $3.15 billion, also above the estimates of $2.73 billion.

Trading revenue stood at $7.87 billion, well above the expected $5.84 billion.

Citi analyst Keith Horowitz said that GS managed to deliver a “very strong quarter in a tough environment.”

“We were well ahead of consensus heading into 1Q, and GS beat our number mainly on expenses while relative to consensus it was more of a top line beat.”

Evercore ISI analyst Glenn Schorr also weighed in positively.

“While investors never like to pay for great trading at Goldman and shiver at the thought of saying Goldman and consumer in the same sentence, it is what it is and a 15.8% ROTCE when capital markets are in upheaval, banking is massively disrupted and markets are off a lot should count towards Goldman executing on the plan to build a more resilient and durable revenue stream and mix of businesses,” he told clients."
39;GOOD;"Shares of Citigroup (NYSE:C) are up 1.5% today after the bank said it recorded revenue of $19.19 billion in Q1.

This is 2.4% lower YoY, though topping the expected $18 billion. The bank reported a Q1 EPS of $2.02.

Citi also reported better-than-expected FICC sales & trading revenue for Q1. The bank posted FICC sales & trading revenue of $4.3 billion, down from 1.1% in the year-ago period and above the consensus estimates of $3.98 billion.

“Net release included a $1.9 billion ACL build related to Citi’s exposures in Russia and the broader impact of the conflict in Ukraine on the macroeconomic environment,” Citi said.

Earnings also reflect the Asia Consumer divestiture-related costs of about $677 million ($588 million after-tax), Citi said.

“Current macro backdrop impacted investment banking as we saw a contraction in capital market activity. This remains a key area of investment for us,” said Citi CEO Jane Fraser.

“We continue to see the health and resilience of the U.S. Consumer through our cost of credit and their payment rates.”

“While geopolitics dampened performance in Wealth Management, we are hiring bankers, enhancing our client offerings and continuing to add clients in both the Private Bank and Citigold,” she added."
40;BAD;Shares of Alibaba (NYSE:BABA) are down nearly 3% in pre-market Thursday after Bloomberg reported that regulators are probing the relationship between Alibaba-backed Ant Group and state-owned Chinese companies.
41;BAD;"Volkswagen (ETR:VOWG_p) stock fell in morning trading in Europe on Thursday after the world's second-biggest carmaker said deliveries slumped 31% in March due to Russia's war in Ukraine and ongoing problems in its supply chain.

It also warned of a potential financial hit from volatility in ""unpredictable"" commodity markets, saying that developments there could have ""significant impacts on the valuation of hedging operations.""

The warning comes a day after JPMorgan (NYSE:JPM) admitted it had lost $120 million due to the price spike in nickel on the London Metals Exchange. Prices for other battery metals and copper have also been volatile so far this year. However, VW didn't give any further details of its exposures. 

Volkswagen preferred stock fell 1.6% on the news, making it one of the worst performers in the benchmark DAX index on the day. 

At a group level, deliveries were down 31% on the year in March at 655,800. 

The idling of its plant in Kaluga, Russia, and the interruption of supplies of wire harnesses from facilities in Ukraine due to the war led to deliveries falling 43% in eastern Europe and 24% in western Europe, its biggest market. Sales were hurt most at its mass-market brand, as the company prioritized its higher-margin Porsche and Audi businesses for scarce inputs. 

However, its operations in China also appeared to be heavily disrupted, against a backdrop of spreading lockdowns of industrial and logistics facilities to stop the Covid-19 virus. Sales in China fell 37% to 217,800 and appear under threat for the foreseeable future, after President Xi Jinping on Wednesday reaffirmed the country's commitment to its aggressive ""Dynamic Clearing"" policy for fighting the coronavirus. Nomura analysts estimate that nearly 400 million people in China are currently under restrictions on mobility due to Covid-19.

The alarming development in deliveries overshadowed more positive news showing that the company made an operating profit of some 8.5 billion euros in the first quarter, and an operating margin of around 13.5%."
42;GOOD;"Sales at Birkin bag maker Hermes beat estimates in the first quarter, lifted by strong appetite for its luxury accessories, particularly in the United States and Europe, as the sector powers through turbulence from the war in Ukraine and COVID lockdowns in China.

Hermes, which also sells silk scarves and porcelain tableware, had a strong start of the year in China until the beginning of March, when restrictions aimed at stemming the spread of the coronavirus prompted some store closures, including three in Shanghai, Executive Vice President for Finance Eric du Halgouet told journalists in a call.

“We are confident and hope that these stores in Shanghai will reopen quickly – in any case the fundamentals are excellent in China,"" he said.

The French luxury group said revenues at constant exchange rates came rose 27% to 2.8 billion euros ($3.06 billion) in the three months to March, ahead of a consensus forecast of 15%organic growth.

The results confirm ""the year is off with a bang,"" said Luca Solca, analyst with Bernstein.

Hermes shares rose as much as 4.5% and traded up 1.3% at 0900 GMT.

All divisions clocked double-digit growth, including the leather goods and saddlery activity known for its Birkin and Kelly handbags, which accounts for nearly half of annual sales and reported 15.8% sales growth.

Other divisions grew even more, with ready-to-wear and accessories division up 44% and sales of watches up 62%.

Hermes is in close contact with its 60 employees in Russia, continuing to pay their salaries while providing training and psychological support, du Halgouet said. Some have relocated to countries nearby.

The group last month said it was suspending commercial operations in Russia, closing its three stores in Moscow and putting plans to open one in St. Petersburg on hold. All exports to the country have been halted and Hermes is complying with rules banning sales to sanctioned oligarchs, the executive added.

Production of leather goods, which is based in France, has normalized after COVID-related disruptions at the start of the year, and production of other goods, including porcelain and silk has also increased since January, the finance chief said.

At the end of last year, Hermes missed market forecasts - a rare instance of underperforming rivals - as self-imposed production caps kept the group from meeting demand for its prized handbags.

Hermes limits volume growth in its leather goods production to 6% to 7% annually, preferring to have long waiting lists for its products rather than speed up production."
43;GOOD;The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 1.51% or 1.05 points to trade at 70.78 at the close. Meanwhile, Engie SA (EPA:ENGIE) added 1.43% or 0.16 points to end at 11.61 and Alstom SA (EPA:ALSO) was up 1.25% or 0.26 points to 20.98 in late trade. The top performers on the SBF 120 were CGG SA (EPA:GEPH) which rose 4.53% to 1.11, Biomerieux SA (EPA:BIOX) which was up 3.43% to settle at 96.40 and Electricite de France SA (EPA:EDF) which gained 2.35% to close at 8.53.
44;BAD;The worst performers of the session were Pernod Ricard SA (EPA:PERP), which fell 2.49% or 4.90 points to trade at 192.25 at the close. Worldline SA (EPA:WLN) declined 1.84% or 0.65 points to end at 34.61 and Danone SA (EPA:DANO) was down 1.08% or 0.56 points to 51.37. The worst performers were Remy Cointreau (EPA:RCOP) which was down 4.40% to 182.70 in late trade, Atos SE (EPA:ATOS) which lost 4.05% to settle at 21.07 and Ubisoft Entertainment (EPA:UBIP) which was down 3.94% to 37.77 at the close.
45;NEUTRAL;" Investment firm KKR & Co LP (NYSE:KKR) announced Tuesday that it has signed a definitive agreement to acquire Barracuda Networks Inc, a cloud security company, from Thoma Bravo.

KKR shares fell 1.3% on Tuesday.

Barracuda was founded in 2003 and focuses on serving small and medium-sized businesses, offering cybersecurity solutions across email protection, application security, network security, and data protection.

Reuters reported earlier today that KKR will acquire Barracuda for around $4 billion. 

“Barracuda has built an impressive portfolio of solutions that are helping SMEs around the world protect their data and address critical security challenges,” said Bradley Brown, Managing Director at KKR. 

”We see a tremendous opportunity for long-term growth as these businesses continue to invest more in cybersecurity and we look forward to helping Barracuda scale and deliver next generation products that meet this growing need,"" added Brown."
46;GOOD;"GDS Holdings Ltd (NASDAQ:GDS) shares gained 3.5% Monday after a Morgan Stanley analyst wrote a note on the stock saying it ""will rise in absolute terms over the next 15 days.""

Analyst Yang Liu reiterated an overweight rating and $58 price target on the stock, attributing the forecasted rise to GDS peer VNET receiving ""an unsolicited preliminary nonbinding buyout proposal.""

It was reported earlier today that VNET Group Inc (NASDAQ:VNET) has received a proposal from investment-firm Hina Group and Industrial Bank Co. Ltd., Shanghai Branch, for all of its outstanding ordinary shares for $8 per American depositary share, or approximately $1.33 per ordinary share.

VNET shares jumped 28% Monday.

""The offer price implies a 54% premium to VNET's last closing price. We think this event could trigger a valuation repair for China IDC (internet data center) ADRs including GDS, which is trading far below its current asset value,"" explained Liu.

""We estimate that there is about an 80%+ (or ""highly likely"") probability for the scenario,"" the analyst said."
47;GOOD;The best performers of the session on the Tadawul All Share were Scientific and Medical Equipment House Company CJSC (SE:4014), which rose 9.96% or 8.40 points to trade at 92.70 at the close. Meanwhile, Mouwasat Medical Services Company (SE:4002) added 5.34% or 12.00 points to end at 236.60 and The Saudi British Bank (SE:1060) was up 5.17% or 2.15 points to 43.70 in late trade.
48;BAD;The worst performers of the session were International Company for Water and Power Projects (ACWA Power) (SE:2082), which fell 4.91% or 7.40 points to trade at 143.40 at the close. Saudi Cable Company (SE:2110) declined 4.79% or 0.86 points to end at 17.08 and Saudi Cement Company (SE:3030) was down 3.77% or 2.30 points to 58.70.
49;GOOD;"Shares in Scientific and Medical Equipment House Company CJSC (SE:4014) rose to all time highs; rising 9.96% or 8.40 to 92.70. Shares in Mouwasat Medical Services Company (SE:4002) rose to all time highs; gaining 5.34% or 12.00 to 236.60. Shares in Saudi Cable Company (SE:2110) fell to 52-week lows; falling 4.79% or 0.86 to 17.08. Shares in The Saudi British Bank (SE:1060) rose to 5-year highs; rising 5.17% or 2.15 to 43.70.

Crude oil for May delivery was down 4.00% or 3.93 to $94.33 a barrel. Elsewhere in commodities trading, Brent oil for delivery in June fell 3.88% or 3.99 to hit $98.79 a barrel, while the June Gold Futures contract rose 0.13% or 2.60 to trade at $1,948.20 a troy ounce."
50;GOOD;Analysts expect S&P 500 earnings to have increased by about 6% in the first three months of 2022 from a year ago and forecast profit growth of about 9% for the year, forecasts in line with those at the start of the month, according to IBES data from Refinitiv.
51;NEUTRAL;"Germany's flag carrier Lufthansa said on Friday it had signed a revolving credit facility of 2.0 billion euros ($2.17 billion) with a syndicate of international relationship banks to boost its liquidity.

The unsecured loan facility replaces Lufthansa's existing undrawn credit lines of around 0.7 billion euros and will be available for three years with two one-year extension options, the airline said in a statement.

""The signing of our first syndicated revolving credit facility strengthens our liquidity reserve and increases the efficiency of our balance sheet in securing our liquidity target of 6-8 billion euros,"" Finance Chief Remco Steenbergen said.

HSBC Continental Europe, Landesbank Baden-Württemberg and UniCredit Bank acted as coordinating bookrunners and mandated lead arrangers, Lufthansa said."
52;GOOD;"Cnooc Ltd. jumped 20% in its first day of trading in Shanghai as mainland investors jumped at the chance for exposure to soaring oil and gas prices.

The company’s A-shares opened at 12.96 yuan ($2.02), after pricing at 10.80 yuan.

China’s biggest offshore driller is raising 28 billion yuan ($4.3 billion) with the issuance after it was delisted by the New York Stock Exchange following U.S. sanctions. The A-share debut was the largest in China and the fourth largest globally this year, according to data compiled by Bloomberg."
53;GOOD;" With Tesla (NASDAQ:TSLA)'s strong quarterly report on Wednesday, Chief Executive Elon Musk has scored a hat trick of performance goals worth a combined $23 billion in new compensation.

The world's most valuable carmaker posted March quarter revenue and profit that surged past Wall Street estimates as it raised prices in response to inflation, offsetting the impact of a Shanghai factory shutdown.

Musk's latest compensation windfall, which must be certified by Tesla's board, comes days after he offered to buy Twitter Inc (NYSE:TWTR) for $43 billion, with analysts suggesting he could sell Tesla shares to help finance the deal."
54;BAD;"Netflix Inc shares lost over a third of their value on Wednesday after the company reported its first drop in subscribers in a decade, leaving Wall Street questioning its growth in the face of fierce competition and post-pandemic viewer fatigue.

The streaming pioneer's shares fell 37% to $220.40 and were headed for their worst day in nearly 18 years if the losses hold. More than a dozen analysts rushed to temper their views on a stock that has been a red-hot market performer in the past few years."
55;BAD;"Lam Research (NASDAQ:LRCX) shares were trading around 2% lower after-hours following the company’s Q2 earnings results, with EPS of $7.40 coming in below the consensus estimate of $7.51 and down 13% from the December quarter. Revenue was $4.06 billion, compared to the consensus estimate of $4.25 billion and down 4% from the December quarter.

Non-GAAP gross margin was 44.7% during the quarter, down 210bps from the December quarter. Operating income fell 260bps sequentially to 29.4%."
56;NEUTRAL;"Carvana Co. (NYSE:CVNA) shares were trading around 6% lower after-hours following the company’s Q1 results, with EPS coming in at ($2.89), worse than the consensus estimate of ($1.42). Revenue grew 56% year-over-year to $3.5 billion, compared to the consensus estimate of $3.39 billion.

According to Ernie Garcia, founder and CEO of Carvana, the company views the macro factors, such as Omicron, high used vehicle prices, and rapid changes in interest rates, as transitory and remains focused on delivering the best possible experiences to its customers."
57;GOOD;The company expects to continue gaining significant market share in 2022 through continued growth in retail units and revenue, improve the efficiency of its logistics network, speeding delivery times, reducing rescheduling and cancellation rates, and enabling broader inventory selection through increased inventory visibility.
58;BAD;But net income attributable to the company fell to $667 million, or 29 cents per share, from $1.41 billion, or 62 cents per share, a year earlier. Last year, the company had benefited from a winter storm that boosted demand for natural gas and electricity.
59;BAD;Hasbro Inc (NASDAQ:HAS) said on Tuesday it would have to raise prices further to cope with soaring costs and warned of a potential revenue hit of about $100 million this year due to its decision to pause toy shipments to Russia. 
60;GOOD;The best performers of the session on the S&P/ASX 200 were Cleanaway Waste Management Ltd (ASX:CWY), which rose 5.88% or 0.18 points to trade at 3.24 at the close. Meanwhile, Omni Bridgeway Ltd (ASX:OBL) added 4.08% or 0.14 points to end at 3.57 and Beach Energy Ltd (ASX:BPT) was up 4.06% or 0.07 points to 1.66 in late trade.
61;BAD;The worst performers of the session were Fisher & Paykel Healthcare Ltd (ASX:FPH), which fell 2.57% or 0.54 points to trade at 20.44 at the close. Resolute Mining Ltd (ASX:RSG) declined 2.53% or 0.01 points to end at 0.38 and St Barbara Ltd (ASX:SBM) was down 2.29% or 0.04 points to 1.50.
